table_id,identifier_type,identifier_value_expr,is_hashed
customer,EMAIL,email,false
customer,PHONE,phone,false
customer,LOYALTY_ID,loyalty_id,false
transactions,EMAIL,customer_email,false
transactions,PHONE,customer_phone,false
loyalty_accounts,EMAIL,email,false
loyalty_accounts,PHONE,phone,false
loyalty_accounts,LOYALTY_ID,loyalty_id,false
web_events,EMAIL,email,false
web_events,PHONE,phone,false
store_visits,EMAIL,email,false
store_visits,PHONE,phone,false
store_visits,LOYALTY_ID,loyalty_id,false
